model_id,cluster_beta,spatial,cluster_sigma,offset,cluster_alpha,success,binder_loss,n_clusters,error,K,covariate_set
1,False,False,False,False,False,True,1889.882,1,,2,full
2,False,False,False,False,True,True,1665.3915000000002,1,,2,full
3,False,False,False,True,False,True,1881.82925,1,,2,full
4,False,False,False,True,True,True,1570.41125,1,,2,full
5,False,False,True,False,False,True,1358.083,1,,2,full
6,False,False,True,False,True,True,595.4702500000001,1,,2,full
7,False,False,True,True,False,True,1451.85925,1,,2,full
8,False,False,True,True,True,True,619.85025,1,,2,full
9,False,True,False,False,False,True,1867.321,1,,2,full
10,False,True,False,False,True,True,1272.8575,1,,2,full
11,False,True,False,True,False,True,1959.4325,1,,2,full
12,False,True,False,True,True,True,1224.96,1,,2,full
13,False,True,True,False,False,True,1117.1609999999998,1,,2,full
14,False,True,True,False,True,True,156.90625,1,,2,full
15,False,True,True,True,False,True,1326.83025,1,,2,full
16,False,True,True,True,True,True,636.0450000000001,1,,2,full
17,True,False,False,False,False,True,10.816999999999968,1,,2,full
18,True,False,False,False,True,True,9.191999999999966,1,,2,full
19,True,False,False,True,False,True,17.90324999999998,1,,2,full
20,True,False,False,True,True,True,15.44699999999997,1,,2,full
21,True,False,True,False,False,True,9.430749999999964,1,,2,full
22,True,False,True,False,True,True,8.700749999999967,1,,2,full
23,True,False,True,True,False,True,16.339749999999974,1,,2,full
24,True,False,True,True,True,True,13.558999999999973,1,,2,full
25,True,True,False,False,False,True,11.263249999999966,1,,2,full
26,True,True,False,False,True,True,8.026249999999969,1,,2,full
27,True,True,False,True,False,True,22.83899999999997,1,,2,full
28,True,True,False,True,True,True,15.56324999999997,1,,2,full
29,True,True,True,False,False,True,9.597249999999969,1,,2,full
30,True,True,True,False,True,True,9.024999999999958,1,,2,full
31,True,True,True,True,False,True,20.336749999999967,1,,2,full
32,True,True,True,True,True,True,14.77374999999997,1,,2,full
1,False,False,False,False,False,True,1876.55525,1,,2,cov
2,False,False,False,False,True,True,1669.61175,1,,2,cov
3,False,False,False,True,False,True,1880.73975,1,,2,cov
4,False,False,False,True,True,True,1374.00825,1,,2,cov
5,False,False,True,False,False,True,1682.537,1,,2,cov
6,False,False,True,False,True,True,1130.18375,1,,2,cov
7,False,False,True,True,False,True,1259.977,1,,2,cov
8,False,False,True,True,True,True,424.008,1,,2,cov
9,False,True,False,False,False,True,1886.33475,1,,2,cov
10,False,True,False,False,True,True,1151.8435,1,,2,cov
11,False,True,False,True,False,True,1888.87675,1,,2,cov
12,False,True,False,True,True,True,1092.355,1,,2,cov
13,False,True,True,False,False,True,855.4825,1,,2,cov
14,False,True,True,False,True,True,315.48675000000003,1,,2,cov
15,False,True,True,True,False,True,557.4555,1,,2,cov
16,False,True,True,True,True,True,60.45325,1,,2,cov
17,True,False,False,False,False,True,14.998499999999972,1,,2,cov
18,True,False,False,False,True,True,12.62024999999997,1,,2,cov
19,True,False,False,True,False,True,10.029249999999958,1,,2,cov
20,True,False,False,True,True,True,8.356249999999953,1,,2,cov
21,True,False,True,False,False,True,14.279499999999972,1,,2,cov
22,True,False,True,False,True,True,11.566249999999975,1,,2,cov
23,True,False,True,True,False,True,9.53499999999996,1,,2,cov
24,True,False,True,True,True,True,8.750749999999965,1,,2,cov
25,True,True,False,False,False,True,13.507249999999974,1,,2,cov
26,True,True,False,False,True,True,11.04949999999996,1,,2,cov
27,True,True,False,True,False,True,6.787249999999959,1,,2,cov
28,True,True,False,True,True,True,6.0472499999999645,1,,2,cov
29,True,True,True,False,False,True,13.22724999999997,1,,2,cov
30,True,True,True,False,True,True,12.028499999999958,1,,2,cov
31,True,True,True,True,False,True,5.941499999999962,1,,2,cov
32,True,True,True,True,True,True,5.884749999999955,1,,2,cov
1,False,False,False,False,False,True,2843.15125,5,,3,full
2,False,False,False,False,True,True,2540.852625,2,,3,full
3,False,False,False,True,False,True,2828.233375,5,,3,full
4,False,False,False,True,True,True,2389.639625,1,,3,full
5,False,False,True,False,False,True,2121.92825,1,,3,full
6,False,False,True,False,True,True,1060.7050000000002,1,,3,full
7,False,False,True,True,False,True,2349.041625,1,,3,full
8,False,False,True,True,True,True,1155.71825,1,,3,full
9,False,True,False,False,False,True,2828.891,5,,3,full
10,False,True,False,False,True,True,1957.534375,1,,3,full
11,False,True,False,True,False,True,2840.821375,5,,3,full
12,False,True,False,True,True,True,2159.019375,1,,3,full
13,False,True,True,False,False,True,1927.098625,1,,3,full
14,False,True,True,False,True,True,506.411875,1,,3,full
15,False,True,True,True,False,True,2124.081875,1,,3,full
16,False,True,True,True,True,True,506.13275,1,,3,full
17,True,False,False,False,False,True,21.53462499999998,1,,3,full
18,True,False,False,False,True,True,19.36312499999997,1,,3,full
19,True,False,False,True,False,True,35.09662499999998,1,,3,full
20,True,False,False,True,True,True,30.258249999999983,1,,3,full
21,True,False,True,False,False,True,20.331374999999973,1,,3,full
22,True,False,True,False,True,True,18.099249999999977,1,,3,full
23,True,False,True,True,False,True,30.850499999999982,1,,3,full
24,True,False,True,True,True,True,28.15912499999997,1,,3,full
25,True,True,False,False,False,True,18.80937499999997,1,,3,full
26,True,True,False,False,True,True,13.672124999999973,1,,3,full
27,True,True,False,True,False,True,37.00124999999999,1,,3,full
28,True,True,False,True,True,True,29.146249999999974,1,,3,full
29,True,True,True,False,False,True,16.80774999999997,1,,3,full
30,True,True,True,False,True,True,10.109124999999969,1,,3,full
31,True,True,True,True,False,True,29.89212499999998,1,,3,full
32,True,True,True,True,True,True,26.009249999999977,1,,3,full
1,False,False,False,False,False,True,2832.385375,5,,3,cov
2,False,False,False,False,True,True,2407.0645,2,,3,cov
3,False,False,False,True,False,True,2842.0615,5,,3,cov
4,False,False,False,True,True,True,2188.646125,1,,3,cov
