model_id,cluster_beta,spatial,cluster_sigma,offset,cluster_alpha,success,binder_loss,n_clusters,error
1,False,False,False,False,False,True,1889.882,1,
2,False,False,False,False,True,True,1665.3915000000002,1,
3,False,False,False,True,False,True,1881.82925,1,
4,False,False,False,True,True,True,1570.4112499999999,1,
5,False,False,True,False,False,True,1358.083,1,
6,False,False,True,False,True,True,595.4702500000001,1,
7,False,False,True,True,False,True,1451.85925,1,
8,False,False,True,True,True,True,619.85025,1,
9,False,True,False,False,False,True,1867.3210000000001,1,
10,False,True,False,False,True,True,1272.8575,1,
11,False,True,False,True,False,True,1959.4325,1,
12,False,True,False,True,True,True,1224.96,1,
13,False,True,True,False,False,True,1117.1609999999998,1,
14,False,True,True,False,True,True,156.90625,1,
15,False,True,True,True,False,True,1326.83025,1,
16,False,True,True,True,True,True,636.0450000000001,1,
17,True,False,False,False,False,True,10.816999999999968,1,
18,True,False,False,False,True,True,9.191999999999966,1,
19,True,False,False,True,False,True,17.90324999999998,1,
20,True,False,False,True,True,True,15.44699999999997,1,
21,True,False,True,False,False,True,9.430749999999964,1,
22,True,False,True,False,True,True,8.700749999999967,1,
23,True,False,True,True,False,True,16.339749999999974,1,
24,True,False,True,True,True,True,13.558999999999973,1,
25,True,True,False,False,False,True,11.263249999999966,1,
26,True,True,False,False,True,True,8.026249999999969,1,
27,True,True,False,True,False,True,22.83899999999997,1,
28,True,True,False,True,True,True,15.56324999999997,1,
29,True,True,True,False,False,True,9.597249999999967,1,
30,True,True,True,False,True,True,9.024999999999958,1,
31,True,True,True,True,False,True,20.336749999999967,1,
32,True,True,True,True,True,True,14.77374999999997,1,
