model_id,cluster_beta,spatial,cluster_sigma,offset,cluster_alpha,success,binder_loss,n_clusters,error
1,False,False,False,False,False,True,2832.385375,5,
2,False,False,False,False,True,True,2407.0645,2,
3,False,False,False,True,False,True,2842.0615,5,
4,False,False,False,True,True,True,2188.646125,1,
5,False,False,True,False,False,True,2556.682625,1,
6,False,False,True,False,True,True,1741.22775,1,
7,False,False,True,True,False,True,1960.900875,2,
8,False,False,True,True,True,True,783.7283749999999,1,
9,False,True,False,False,False,True,2834.39775,5,
10,False,True,False,False,True,True,1716.837375,1,
11,False,True,False,True,False,True,2834.4082500000004,5,
12,False,True,False,True,True,True,1883.7640000000001,1,
13,False,True,True,False,False,True,1438.6845,2,
14,False,True,True,False,True,True,509.86375000000004,1,
15,False,True,True,True,False,True,972.9965,1,
16,False,True,True,True,True,True,176.98600000000002,1,
17,True,False,False,False,False,True,29.32724999999998,1,
18,True,False,False,False,True,True,26.924124999999982,1,
19,True,False,False,True,False,True,19.501124999999973,1,
20,True,False,False,True,True,True,18.85487499999997,1,
21,True,False,True,False,False,True,28.22199999999998,1,
22,True,False,True,False,True,True,25.64037499999998,1,
23,True,False,True,True,False,True,19.800624999999975,1,
24,True,False,True,True,True,True,16.965374999999973,1,
25,True,True,False,False,False,True,28.480749999999976,1,
26,True,True,False,False,True,True,26.293749999999974,1,
27,True,True,False,True,False,True,13.399999999999974,1,
28,True,True,False,True,True,True,11.179374999999968,1,
29,True,True,True,False,False,True,27.58424999999998,1,
30,True,True,True,False,True,True,24.99112499999998,1,
31,True,True,True,True,False,True,12.743249999999977,1,
32,True,True,True,True,True,True,11.275374999999968,1,
