model_id,cluster_mean,spatial,cluster_sigma,offset,success,binder_loss,n_clusters,error,K
1,False,False,False,False,True,1909.33475,1,,2
2,False,False,False,True,True,1899.7815,1,,2
3,False,False,True,False,True,1645.023,1,,2
4,False,False,True,True,True,1532.3680000000002,2,,2
5,False,True,False,False,True,1868.76275,1,,2
6,False,True,False,True,True,1901.88575,1,,2
7,False,True,True,False,True,1723.9945,1,,2
8,False,True,True,True,True,1634.6315,1,,2
9,True,False,False,False,True,508.328,2,,2
10,True,False,False,True,True,1330.17075,1,,2
11,True,False,True,False,True,767.3315,2,,2
12,True,False,True,True,True,1037.54525,2,,2
13,True,True,False,False,True,843.19025,2,,2
14,True,True,False,True,True,1428.40975,1,,2
15,True,True,True,False,True,996.95925,2,,2
16,True,True,True,True,True,544.895,1,,2
1,False,False,False,False,True,2804.879375,1,,3
2,False,False,False,True,True,2818.7615,4,,3
3,False,False,True,False,True,2618.592625,1,,3
4,False,False,True,True,True,2289.7628750000003,2,,3
5,False,True,False,False,True,2818.645125,4,,3
6,False,True,False,True,True,2845.34125,5,,3
7,False,True,True,False,True,2055.395,3,,3
8,False,True,True,True,True,2428.944875,2,,3
9,True,False,False,False,True,266.95125,3,,3
10,True,False,False,True,True,2045.079,2,,3
11,True,False,True,False,True,1011.118375,2,,3
12,True,False,True,True,True,1665.284,2,,3
13,True,True,False,False,True,1777.458,3,,3
14,True,True,False,True,True,2122.791375,1,,3
15,True,True,True,False,True,1276.685375,2,,3
16,True,True,True,True,True,987.17225,1,,3
