model_id,cluster_mean,spatial,cluster_sigma,offset,success,binder_loss,n_clusters,error
1,False,False,False,False,True,1909.33475,1,
2,False,False,False,True,True,1899.7815,1,
3,False,False,True,False,True,1645.0230000000001,1,
4,False,False,True,True,True,1532.3680000000002,2,
5,False,True,False,False,True,1868.76275,1,
6,False,True,False,True,True,1901.8857500000001,1,
7,False,True,True,False,True,1723.9945,1,
8,False,True,True,True,True,1634.6315,1,
9,True,False,False,False,True,508.328,2,
10,True,False,False,True,True,1330.17075,1,
11,True,False,True,False,True,767.3315,2,
12,True,False,True,True,True,1037.5452500000001,2,
13,True,True,False,False,True,843.19025,2,
14,True,True,False,True,True,1428.40975,1,
15,True,True,True,False,True,996.95925,2,
16,True,True,True,True,True,544.895,1,
